begintime,sk_object,duration,integrity,50332573,50332574,50342574,50342575,50342635,50342636
2022-03-14,863515.0,82800.0,95.83333333333333,1024.0,45.46778260869565,0.0,137.5,0.0,0.0
2022-02-04,889354.0,86400.0,100.0,1024.0,102.13529166666666,10.5,248.5,0.0,0.0
2022-02-18,889205.0,86400.0,100.0,1024.0,147.63254166666667,32.0,354.5,0.0,0.0
2022-03-06,889202.0,75600.0,87.5,1024.0,256.07738095238096,0.0,729.5,0.0,0.0
2022-02-05,889259.0,86400.0,100.0,1024.0,175.81958333333333,42.0,367.0,0.0,0.0
2022-02-05,889390.0,86400.0,100.0,1024.0,33.42366666666667,0.5,106.0,0.0,0.0
2022-02-19,889125.0,86400.0,100.0,1024.0,154.95654166666668,0.0,452.0,0.0,0.0
2022-02-13,889117.0,86400.0,100.0,1024.0,136.67954166666667,13.0,337.5,0.0,0.0
2022-02-08,839270.0,86400.0,100.0,512.0,22.962,1.5,89.0,0.0,0.0
2022-02-03,889406.0,86400.0,100.0,512.0,124.16783333333333,13.5,277.5,0.0,0.0
2022-02-20,889373.0,86400.0,100.0,512.0,92.613875,13.5,209.0,0.0,0.0
2022-03-11,889487.0,86400.0,100.0,512.0,27.836625,3.5,97.5,0.0,0.0
2022-03-03,889448.0,86400.0,100.0,1024.0,209.06691666666666,34.5,577.0,0.0,0.0
2022-03-14,889223.0,86400.0,100.0,512.0,21.220666666666666,0.0,87.5,0.0,0.0
2022-02-04,889279.0,86400.0,100.0,512.0,83.08083333333333,13.0,229.0,0.0,0.0
2022-02-11,889245.0,86400.0,100.0,1024.0,76.915375,12.0,180.0,0.0,0.0
2022-03-07,889217.0,86400.0,100.0,1024.0,102.93808333333334,8.5,269.0,0.0,0.0
2022-02-12,889115.0,86400.0,100.0,256.0,28.516416666666668,0.0,102.5,0.0,0.0
2022-03-13,889211.0,75600.0,87.5,1024.0,238.44666666666666,15.5,549.5,0.0,0.0
2022-02-11,889310.0,86400.0,100.0,256.0,12.401166666666667,0.0,57.5,0.0,0.0
2022-02-12,889197.0,86400.0,100.0,512.0,85.16570833333333,22.0,205.5,0.0,0.0
2022-02-10,889273.0,86400.0,100.0,512.0,36.178125,3.0,108.5,0.0,0.0
2022-02-19,889469.0,86400.0,100.0,1024.0,92.93175,17.5,230.5,0.0,0.0
2022-02-13,889354.0,86400.0,100.0,1024.0,109.67704166666667,20.5,241.5,0.0,0.0
2022-02-13,889420.0,86400.0,100.0,512.0,91.30783333333333,23.0,181.0,0.0,0.0
2022-03-07,889147.0,86400.0,100.0,1024.0,127.5145,24.0,311.5,0.0,0.0
2022-02-19,889139.0,86400.0,100.0,1024.0,101.27066666666667,0.0,311.0,0.0,0.0
2022-03-11,889191.0,86400.0,100.0,512.0,76.52208333333333,9.0,212.0,0.0,0.0
2022-03-13,793979.0,72000.0,83.33333333333333,512.0,117.128,0.0,268.0,0.0,0.0
2022-03-06,889323.0,79200.0,91.66666666666667,1024.0,118.69372727272727,0.0,279.5,0.0,0.0
2022-02-11,889498.0,86400.0,100.0,512.0,29.122291666666666,8.5,85.5,0.0,0.0
2022-03-12,889509.0,68400.0,79.16666666666667,1024.0,200.116,63.5,455.0,0.0,0.0
2022-03-03,889238.0,86400.0,100.0,512.0,58.64145833333333,0.0,166.5,0.0,0.0
2022-02-10,889142.0,86400.0,100.0,512.0,56.28808333333333,14.5,135.5,0.0,0.0
2022-03-13,889339.0,75600.0,87.5,256.0,27.922285714285714,1.0,114.5,0.0,0.0
2022-02-13,889463.0,86400.0,100.0,1024.0,28.421375,1.0,101.0,0.0,0.0
2022-02-03,889501.0,86400.0,100.0,256.0,0.7961666666666667,0.0,11.5,0.0,0.0
2022-03-03,90151450.0,86400.0,100.0,512.0,20.561458333333334,0.5,121.5,0.0,0.0
2022-02-17,889395.0,75600.0,87.5,256.0,149.41142857142856,31.5,257.0,0.0,0.0
2022-03-10,794244.0,82800.0,95.83333333333333,1024.0,110.36152173913044,21.0,217.5,0.0,0.0
2022-02-08,889302.0,86400.0,100.0,512.0,94.37091666666667,16.0,202.5,0.0,0.0
2022-03-13,842681.0,75600.0,87.5,1024.0,108.00133333333333,30.5,214.5,8.87,20.0
2022-03-11,842681.0,86400.0,100.0,1024.0,108.87570833333334,30.0,233.5,9.527916666666666,22.0
2022-03-14,889425.0,75600.0,87.5,512.0,50.684619047619044,0.0,145.5,0.0,0.0
2022-02-06,889503.0,86400.0,100.0,1024.0,65.173625,5.5,195.5,0.0,0.0
2022-02-17,873337.0,75600.0,87.5,1024.0,81.58980952380952,14.0,282.5,0.0,0.0
2022-03-10,889165.0,82800.0,95.83333333333333,1024.0,170.49334782608696,0.0,435.5,0.0,0.0
2022-02-13,889243.0,86400.0,100.0,1024.0,182.75183333333334,43.0,386.5,0.0,0.0
2022-02-05,889453.0,86400.0,100.0,512.0,49.98683333333334,5.5,142.0,0.0,0.0
2022-03-12,889342.0,68400.0,79.16666666666667,1024.0,59.33268421052632,3.0,169.5,0.0,0.0
2022-03-13,852605.0,75600.0,87.5,1024.0,42.197857142857146,3.0,186.5,0.0,0.0
2022-03-13,889521.0,75600.0,87.5,1024.0,61.01166666666666,0.0,161.0,0.0,0.0
2022-02-20,889283.0,82800.0,95.83333333333333,1024.0,141.12804347826088,49.0,301.0,0.0,0.0
2022-02-12,889502.0,86400.0,100.0,512.0,65.94675,0.0,168.0,0.0,0.0
2022-02-04,790895.0,86400.0,100.0,1024.0,37.348375,3.0,102.0,0.0,0.0
2022-03-11,889405.0,86400.0,100.0,512.0,20.252083333333335,0.0,96.0,0.0,0.0
2022-03-11,889534.0,86400.0,100.0,1024.0,112.65816666666667,20.5,310.0,0.0,0.0
2022-03-15,889509.0,86400.0,100.0,1024.0,147.43308333333334,28.0,433.0,0.0,0.0
2022-02-18,889250.0,86400.0,100.0,1024.0,64.24641666666666,0.0,211.0,0.0,0.0
2022-02-12,889463.0,86400.0,100.0,1024.0,27.77525,0.0,98.0,0.0,0.0
2022-02-06,889521.0,86400.0,100.0,1024.0,68.91029166666667,16.5,156.0,0.0,0.0
2022-03-10,889367.0,82800.0,95.83333333333333,256.0,46.46630434782609,0.5,155.5,0.0,0.0
2022-02-08,889350.0,86400.0,100.0,512.0,14.790458333333333,0.0,81.5,0.0,0.0
2022-02-19,889231.0,86400.0,100.0,1024.0,43.141,1.5,144.5,0.0,0.0
2022-03-07,889323.0,86400.0,100.0,1024.0,118.641375,0.0,299.5,0.0,0.0
2022-02-17,889115.0,75600.0,87.5,256.0,32.95742857142857,7.0,124.5,0.0,0.0
2022-02-13,889343.0,86400.0,100.0,1024.0,177.93841666666665,32.5,430.0,0.0,0.0
2022-02-19,889429.0,86400.0,100.0,512.0,76.08345833333334,11.0,209.5,0.0,0.0
2022-02-11,889473.0,86400.0,100.0,512.0,37.31970833333333,2.0,108.0,0.0,0.0
2022-02-03,889299.0,82800.0,95.83333333333333,512.0,3.8755652173913044,0.0,45.5,0.0,0.0
2022-02-18,889220.0,86400.0,100.0,512.0,85.58104166666666,23.0,203.5,0.0,0.0
2022-02-20,889437.0,86400.0,100.0,512.0,53.901125,8.0,155.5,0.0,0.0
2022-02-13,873337.0,86400.0,100.0,1024.0,78.10991666666666,10.5,233.0,0.0,0.0
2022-02-19,792987.0,86400.0,100.0,256.0,105.59575,21.0,242.5,0.0,0.0
2022-03-11,889199.0,86400.0,100.0,1024.0,51.34770833333334,1.5,140.0,0.0,0.0
2022-02-04,889539.0,86400.0,100.0,1024.0,131.32695833333332,34.5,287.5,0.0,0.0
2022-03-11,889324.0,86400.0,100.0,512.0,30.72475,1.0,100.5,0.0,0.0
2022-03-12,889513.0,68400.0,79.16666666666667,1024.0,180.30068421052633,37.0,302.5,0.0,0.0
2022-02-11,832758.0,86400.0,100.0,512.0,33.942708333333336,0.0,143.0,0.0,0.0
2022-02-18,889404.0,86400.0,100.0,512.0,38.21783333333333,0.5,146.0,0.0,0.0
2022-03-15,889310.0,82800.0,95.83333333333333,256.0,11.679521739130434,0.0,63.5,0.0,0.0
2022-03-07,889335.0,86400.0,100.0,512.0,37.49433333333333,4.0,122.5,0.0,0.0
2022-02-04,889465.0,86400.0,100.0,256.0,38.885125,0.0,156.5,0.0,0.0
2022-03-11,889233.0,86400.0,100.0,1024.0,156.23204166666667,30.5,362.0,0.0,0.0
2022-02-18,889163.0,86400.0,100.0,512.0,45.67341666666667,7.5,110.0,0.0,0.0
2022-03-13,889353.0,75600.0,87.5,512.0,57.93309523809524,8.0,136.0,0.0,0.0
2022-03-11,889414.0,72000.0,83.33333333333333,1024.0,98.2133,13.5,318.5,0.0,0.0
2022-03-03,830082.0,86400.0,100.0,512.0,23.164041666666666,0.0,84.5,0.0,0.0
2022-02-06,832758.0,86400.0,100.0,512.0,32.19070833333333,0.0,125.5,0.0,0.0
2022-02-19,889267.0,86400.0,100.0,512.0,86.64483333333334,7.0,238.0,0.0,0.0
2022-03-14,889168.0,86400.0,100.0,512.0,69.91391666666667,13.5,209.0,0.0,0.0
2022-03-11,889257.0,72000.0,83.33333333333333,1024.0,122.1298,32.0,350.5,0.0,0.0
2022-02-06,889276.0,86400.0,100.0,512.0,139.76175,16.5,419.0,0.0,0.0
2022-02-04,889509.0,86400.0,100.0,1024.0,174.51795833333333,68.5,392.5,0.0,0.0
2022-03-15,860974.0,86400.0,100.0,512.0,37.00241666666667,2.0,108.0,0.0,0.0
2022-02-11,889144.0,86400.0,100.0,1024.0,83.371875,19.5,171.0,0.0,0.0
2022-03-10,889163.0,82800.0,95.83333333333333,512.0,53.394,8.5,148.0,0.0,0.0
2022-03-12,889212.0,68400.0,79.16666666666667,1024.0,47.77536842105263,1.5,103.0,0.0,0.0
2022-02-18,889129.0,86400.0,100.0,512.0,55.643208333333334,0.0,144.5,0.0,0.0
2022-02-06,889522.0,86400.0,100.0,1024.0,180.78783333333334,56.0,390.5,0.0,0.0
2022-03-11,889294.0,86400.0,100.0,1024.0,169.97029166666667,68.0,313.5,0.0,0.0
2022-02-04,33383.0,82800.0,95.83333333333333,1024.0,134.3618260869565,38.5,260.5,0.0,0.0
2022-03-15,889263.0,86400.0,100.0,512.0,31.246291666666668,5.0,114.5,0.0,0.0
2022-03-11,889181.0,86400.0,100.0,512.0,57.760875,15.0,134.5,0.0,0.0
2022-03-15,889129.0,79200.0,91.66666666666667,512.0,58.23468181818182,0.0,144.0,0.0,0.0
2022-02-08,889456.0,86400.0,100.0,1024.0,157.43804166666666,40.5,324.5,0.0,0.0
2022-03-14,889176.0,86400.0,100.0,1024.0,145.729125,29.0,338.5,0.0,0.0
2022-02-12,889346.0,86400.0,100.0,1024.0,220.84375,39.5,510.0,0.0,0.0
2022-03-13,889271.0,75600.0,87.5,512.0,66.45571428571428,12.0,145.5,0.0,0.0
2022-03-11,889433.0,86400.0,100.0,512.0,3.67775,0.0,95.5,0.0,0.0
2022-03-13,889201.0,75600.0,87.5,1024.0,11.623,0.0,60.5,0.0,0.0
2022-03-07,889366.0,86400.0,100.0,256.0,63.937083333333334,0.0,192.5,0.0,0.0
2022-03-13,889236.0,75600.0,87.5,1024.0,7.339047619047619,0.0,46.5,0.0,0.0
2022-02-06,889259.0,86400.0,100.0,1024.0,163.99066666666667,33.0,358.5,0.0,0.0
2022-03-10,889396.0,82800.0,95.83333333333333,512.0,50.143565217391306,0.0,175.0,0.0,0.0
2022-03-12,889421.0,68400.0,79.16666666666667,256.0,35.96321052631579,0.0,103.5,0.0,0.0
2022-03-06,889162.0,79200.0,91.66666666666667,512.0,22.325818181818182,1.0,75.0,0.0,0.0
2022-02-10,889356.0,86400.0,100.0,1024.0,57.1125,3.5,198.0,0.0,0.0
2022-03-12,90151768.0,68400.0,79.16666666666667,512.0,43.19342105263158,1.0,137.0,0.0,0.0
2022-03-06,889412.0,79200.0,91.66666666666667,1024.0,169.85745454545454,34.0,357.0,0.0,0.0
2022-03-13,889433.0,57600.0,66.66666666666667,512.0,0.6223125,0.0,10.5,0.0,0.0
2022-02-18,837639.0,86400.0,100.0,512.0,29.33825,2.5,111.0,0.0,0.0
2022-02-13,889371.0,86400.0,100.0,1024.0,173.93775,43.0,337.0,0.0,0.0
2022-02-03,889367.0,86400.0,100.0,256.0,60.01679166666667,3.5,242.5,0.0,0.0
2022-03-15,889261.0,86400.0,100.0,1024.0,64.063,6.0,421.0,0.0,0.0
2022-02-11,889448.0,86400.0,100.0,1024.0,239.44770833333334,45.5,510.5,0.0,0.0
2022-02-04,889312.0,86400.0,100.0,512.0,72.98683333333334,0.0,184.5,0.0,0.0
2022-03-15,889369.0,79200.0,91.66666666666667,1024.0,84.93086363636364,8.5,282.5,0.0,0.0
2022-02-12,889415.0,86400.0,100.0,512.0,57.746125,0.0,172.5,0.0,0.0
2022-02-11,793327.0,86400.0,100.0,512.0,100.4025,26.5,229.0,0.0,0.0
2022-02-08,889476.0,86400.0,100.0,1024.0,157.931875,34.5,390.5,0.0,0.0
2022-03-10,889138.0,82800.0,95.83333333333333,1024.0,127.00791304347825,19.5,254.5,0.0,0.0
2022-03-11,889334.0,86400.0,100.0,512.0,30.760291666666667,0.5,105.5,0.0,0.0
2022-03-12,889173.0,68400.0,79.16666666666667,1024.0,38.80621052631579,2.0,127.0,0.0,0.0
2022-03-12,889164.0,68400.0,79.16666666666667,1024.0,69.559,0.0,165.0,0.0,0.0
2022-02-18,34298.0,86400.0,100.0,512.0,95.92791666666666,15.5,214.5,0.0,0.0
2022-02-05,889399.0,86400.0,100.0,1024.0,109.05775,15.5,281.5,0.0,0.0
2022-03-15,889223.0,72000.0,83.33333333333333,512.0,20.1408,0.0,89.0,0.0,0.0
2022-02-05,889277.0,86400.0,100.0,512.0,95.50725,0.0,271.0,0.0,0.0
2022-02-18,889304.0,86400.0,100.0,512.0,17.139958333333333,0.0,88.5,0.0,0.0
2022-02-11,889215.0,86400.0,100.0,1024.0,118.916375,24.0,280.0,0.0,0.0
2022-02-20,889521.0,86400.0,100.0,1024.0,67.55845833333333,12.5,164.5,0.0,0.0
2022-02-17,889472.0,75600.0,87.5,256.0,51.016285714285715,0.0,256.0,0.0,0.0
2022-02-17,889290.0,75600.0,87.5,1024.0,170.54780952380952,15.0,370.0,0.0,0.0
2022-02-19,889424.0,86400.0,100.0,1024.0,200.179375,46.0,383.5,9.684541666666666,24.0
2022-03-15,889425.0,79200.0,91.66666666666667,512.0,53.01627272727273,8.0,154.0,0.0,0.0
2022-03-10,889417.0,82800.0,95.83333333333333,1024.0,18.57191304347826,0.0,94.0,0.0,0.0
2022-02-20,889122.0,86400.0,100.0,1024.0,144.78779166666666,0.0,337.5,0.0,0.0
2022-03-07,889451.0,86400.0,100.0,1024.0,201.88345833333332,58.0,434.0,0.0,0.0
2022-02-11,889198.0,86400.0,100.0,1024.0,30.817625,2.5,102.0,0.0,0.0
2022-03-07,889503.0,86400.0,100.0,1024.0,70.59745833333334,10.0,233.0,0.0,0.0
2022-03-10,889502.0,82800.0,95.83333333333333,512.0,76.64543478260869,15.5,180.5,0.0,0.0
2022-02-13,889402.0,86400.0,100.0,512.0,73.031875,12.5,186.5,0.0,0.0
2022-02-18,889452.0,86400.0,100.0,512.0,49.71729166666667,5.5,150.0,0.0,0.0
2022-03-14,889536.0,86400.0,100.0,512.0,68.97858333333333,5.5,205.0,0.0,0.0
2022-02-06,889384.0,86400.0,100.0,1024.0,176.911625,11.5,482.5,0.0,0.0
2022-02-19,889254.0,86400.0,100.0,512.0,74.75645833333333,15.5,201.5,0.0,0.0
2022-03-07,889378.0,86400.0,100.0,1024.0,142.83704166666666,40.0,278.0,0.0,0.0
2022-02-03,889293.0,86400.0,100.0,1024.0,118.24933333333334,5.0,317.5,0.0,0.0
2022-03-15,889249.0,86400.0,100.0,1024.0,153.88679166666665,0.0,401.0,0.0,0.0
2022-02-13,889384.0,86400.0,100.0,1024.0,190.73133333333334,4.5,631.0,0.0,0.0
2022-02-06,889292.0,86400.0,100.0,256.0,49.01475,5.5,125.5,0.0,0.0
2022-03-10,889538.0,82800.0,95.83333333333333,512.0,51.41413043478261,10.5,142.0,0.0,0.0
2022-03-06,889165.0,79200.0,91.66666666666667,1024.0,181.91704545454544,27.0,525.5,0.0,0.0
2022-03-12,832758.0,68400.0,79.16666666666667,512.0,29.79905263157895,4.5,92.0,0.0,0.0
2022-03-12,90151479.0,68400.0,79.16666666666667,512.0,32.25352631578947,0.5,105.5,0.0,0.0
2022-03-06,90151732.0,79200.0,91.66666666666667,512.0,28.025045454545456,2.5,106.0,0.0,0.0
2022-02-06,889251.0,86400.0,100.0,512.0,49.192458333333335,5.0,131.5,0.0,0.0
2022-03-14,889476.0,86400.0,100.0,1024.0,120.429375,23.5,349.5,0.0,0.0
2022-02-12,889235.0,86400.0,100.0,1024.0,260.8425,21.0,588.5,0.0,0.0
2022-02-19,889202.0,86400.0,100.0,1024.0,247.55320833333334,49.0,609.5,0.0,0.0
2022-02-05,889439.0,86400.0,100.0,1024.0,76.70091666666667,16.0,212.5,0.0,0.0
2022-02-10,889279.0,86400.0,100.0,512.0,81.97704166666666,7.5,245.0,0.0,0.0
2022-02-05,889150.0,86400.0,100.0,1024.0,81.53254166666666,0.0,284.5,0.0,0.0
2022-02-06,830652.0,86400.0,100.0,512.0,99.81383333333333,20.0,258.5,0.0,0.0
2022-02-20,850291.0,86400.0,100.0,1024.0,174.163625,34.5,412.5,0.0,0.0
2022-03-12,889330.0,68400.0,79.16666666666667,1024.0,135.75515789473684,28.5,228.0,0.0,0.0
2022-02-17,889361.0,75600.0,87.5,512.0,24.930904761904763,0.0,92.5,0.0,0.0
2022-02-12,810456.0,86400.0,100.0,512.0,13.740208333333333,0.5,65.0,0.0,0.0
2022-02-12,889351.0,86400.0,100.0,512.0,32.42004166666667,1.0,107.0,0.0,0.0
2022-02-19,889516.0,86400.0,100.0,512.0,29.24395833333333,5.5,91.0,0.0,0.0
2022-02-05,889125.0,86400.0,100.0,1024.0,136.04329166666668,0.0,373.5,0.0,0.0
2022-03-03,889241.0,86400.0,100.0,512.0,40.79925,4.5,132.5,0.0,0.0
2022-02-11,889170.0,86400.0,100.0,1024.0,115.24154166666666,0.0,317.0,0.0,0.0
2022-02-06,889518.0,86400.0,100.0,1024.0,185.45991666666666,51.5,413.5,0.0,0.0
2022-03-03,889360.0,86400.0,100.0,1024.0,60.15804166666667,2.5,220.0,0.0,0.0
2022-02-03,889466.0,86400.0,100.0,512.0,18.826458333333335,0.0,70.0,0.0,0.0
2022-03-13,889526.0,75600.0,87.5,1024.0,156.16519047619047,28.0,299.0,0.0,0.0
2022-03-03,889237.0,86400.0,100.0,1024.0,150.69829166666668,28.0,319.0,0.0,0.0
2022-02-17,889295.0,75600.0,87.5,1024.0,96.35814285714285,0.0,221.0,0.0,0.0
2022-03-12,889447.0,68400.0,79.16666666666667,1024.0,199.62763157894736,19.5,380.0,0.0,0.0
2022-02-04,889351.0,86400.0,100.0,512.0,28.746041666666667,1.0,98.5,0.0,0.0
2022-02-18,889371.0,86400.0,100.0,1024.0,170.40920833333334,42.0,340.5,0.0,0.0
2022-03-11,889703.0,86400.0,100.0,1024.0,148.46075,32.0,380.0,0.0,0.0
2022-02-18,893255.0,86400.0,100.0,512.0,74.56016666666666,0.0,179.0,0.0,0.0
2022-02-20,889142.0,86400.0,100.0,512.0,67.514875,19.0,163.0,0.0,0.0
2022-03-13,889418.0,75600.0,87.5,1024.0,16.763238095238094,0.5,49.5,0.0,0.0
2022-02-04,889411.0,86400.0,100.0,512.0,56.05741666666667,7.0,155.5,0.0,0.0
2022-02-03,889153.0,86400.0,100.0,512.0,21.609583333333333,0.0,99.0,0.0,0.0
2022-02-11,889237.0,86400.0,100.0,1024.0,173.26404166666666,37.0,383.5,0.0,0.0
2022-02-19,889513.0,86400.0,100.0,1024.0,194.44066666666666,41.0,425.0,0.0,0.0
2022-03-03,90151473.0,86400.0,100.0,512.0,12.6885,1.0,77.5,0.0,0.0
2022-03-11,90151479.0,86400.0,100.0,512.0,29.017666666666667,0.5,131.0,0.0,0.0
2022-03-12,793979.0,68400.0,79.16666666666667,512.0,119.93736842105262,35.0,254.0,0.0,0.0
2022-02-18,889403.0,86400.0,100.0,512.0,61.995416666666664,10.0,168.5,0.0,0.0
2022-02-17,889492.0,75600.0,87.5,1024.0,34.551,0.0,98.0,0.0,0.0
2022-02-10,889161.0,86400.0,100.0,1024.0,192.007375,41.0,479.0,0.0,0.0
2022-03-11,889337.0,86400.0,100.0,1024.0,77.64291666666666,19.0,222.0,0.0,0.0
2022-02-11,889380.0,86400.0,100.0,256.0,9.71925,0.0,62.5,0.0,0.0
2022-02-12,889421.0,86400.0,100.0,256.0,26.506125,1.5,94.5,0.0,0.0
2022-02-05,889120.0,86400.0,100.0,1024.0,14.754875,0.0,78.5,0.0,0.0
2022-02-04,889502.0,86400.0,100.0,512.0,77.842375,9.0,165.0,0.0,0.0
2022-03-14,889374.0,86400.0,100.0,1024.0,122.97341666666667,14.0,362.0,0.0,0.0
2022-03-12,889215.0,68400.0,79.16666666666667,1024.0,126.31947368421052,26.5,264.5,0.0,0.0
2022-02-17,889291.0,75600.0,87.5,512.0,74.42428571428572,18.5,163.0,0.0,0.0
2022-03-11,889121.0,86400.0,100.0,512.0,41.529041666666664,6.0,130.5,0.0,0.0
2022-02-17,889273.0,75600.0,87.5,512.0,39.242666666666665,2.0,135.5,0.0,0.0
2022-03-12,889225.0,68400.0,79.16666666666667,512.0,39.14215789473684,2.5,107.0,0.0,0.0
2022-03-12,889315.0,68400.0,79.16666666666667,1024.0,141.78915789473683,34.0,268.5,0.0,0.0
2022-02-06,889157.0,86400.0,100.0,1024.0,107.167875,25.5,209.0,0.0,0.0
2022-02-17,889179.0,75600.0,87.5,1024.0,25.77204761904762,0.5,88.0,0.0,0.0
2022-02-11,889319.0,86400.0,100.0,512.0,13.305875,0.0,59.5,0.0,0.0
2022-02-11,889216.0,82800.0,95.83333333333333,1024.0,120.83704347826087,0.0,271.0,0.0,0.0
2022-02-08,889361.0,86400.0,100.0,512.0,26.91225,0.0,81.0,0.0,0.0
2022-03-03,82661560.0,86400.0,100.0,1024.0,83.47383333333333,9.5,213.5,0.0,0.0
2022-03-06,889141.0,79200.0,91.66666666666667,512.0,59.32122727272727,9.0,140.5,0.0,0.0
2022-03-15,889159.0,68400.0,79.16666666666667,1024.0,92.20536842105263,12.0,227.0,0.0,0.0
2022-02-03,889158.0,86400.0,100.0,1024.0,153.707375,61.5,306.5,0.0,0.0
2022-03-12,889434.0,68400.0,79.16666666666667,1024.0,50.40636842105263,4.0,146.0,0.0,0.0
2022-03-14,889274.0,86400.0,100.0,1024.0,132.91058333333334,23.0,412.0,0.0,0.0
2022-02-11,889376.0,86400.0,100.0,512.0,76.81779166666666,4.0,202.0,0.0,0.0
2022-03-15,889243.0,86400.0,100.0,1024.0,160.02966666666666,34.0,344.0,0.0,0.0
2022-03-14,889527.0,86400.0,100.0,512.0,51.216833333333334,9.0,126.5,0.0,0.0
2022-03-14,889314.0,86400.0,100.0,1024.0,194.86408333333333,47.5,431.0,0.0,0.0
2022-03-03,873337.0,86400.0,100.0,1024.0,77.06666666666666,15.5,178.5,0.0,0.0
2022-03-15,830642.0,79200.0,91.66666666666667,768.0,85.49813636363636,0.0,196.0,0.0,0.0
2022-02-20,889305.0,86400.0,100.0,1024.0,56.10370833333333,10.0,145.0,0.0,0.0
2022-02-17,889493.0,75600.0,87.5,1024.0,214.02985714285714,37.5,434.5,0.0,0.0
2022-02-06,889152.0,86400.0,100.0,1024.0,218.10495833333334,55.0,517.5,0.0,0.0
2022-02-05,889336.0,86400.0,100.0,1024.0,140.12916666666666,26.5,335.5,0.0,0.0
2022-03-06,889334.0,79200.0,91.66666666666667,512.0,34.73886363636364,0.0,108.0,0.0,0.0
2022-03-09,889511.0,3600.0,4.166666666666667,512.0,112.296,72.0,166.5,0.0,0.0
2022-03-03,889443.0,86400.0,100.0,512.0,76.068375,28.0,186.0,0.0,0.0
2022-02-06,889319.0,86400.0,100.0,512.0,9.578166666666666,0.0,40.5,0.0,0.0
2022-03-13,889178.0,75600.0,87.5,256.0,14.65352380952381,0.0,62.5,0.0,0.0
2022-03-07,832031.0,86400.0,100.0,1024.0,153.27770833333332,24.0,423.0,0.0,0.0
2022-02-19,889413.0,86400.0,100.0,1024.0,50.876041666666666,5.0,190.0,0.0,0.0
2022-02-13,889349.0,79200.0,91.66666666666667,1024.0,153.0189090909091,0.0,395.0,0.0,0.0
